Start,YLow,YVAL,YPOC,YVAH,YHigh,SessionOpen,HourClose,LinRegAlpha,LinRegBeta,LinRegR2,YNakedLowDistPct,YNakedVALDistPct,YNakedPOCDistPct,YNakedVAHDistPct,YNakedHighDistPct,CrossYLow,CrossYVAL,CrossYPOC,CrossYVAH,CrossYHigh
2018-09-01T00:00:00Z,6896,6930.181818181818,6971.959595959596,7034.626262626262,7083,7011.21,7049,7034.737327868855,0.15085329258127234,0.19454799845593673,-0.021705206412257056,-0.01685603373786097,-0.010929267135821208,-0.002039117232761759,0.004823379202723791,false,false,false,true,true
2018-09-02T00:00:00Z,7021,7023.454545454545,7048,7192.818181818182,7263,7201.57,7160.01,7209.907092896172,-0.9819974993053614,0.8944323222421036,-0.019414777353662944,-0.019071964221482256,-0.01564383289967475,0.004582141898989214,0.01438405812282382,false,false,false,true,true
2018-09-03T00:00:00Z,7128,7217.777777777777,7278.989898989899,7313.676767676768,7329,7302,7280.95,7312.39318032787,-0.630734926368437,0.7565184707060498,-0.021006874102967307,-0.008676370833781642,-0.0002692095138821879,0.004494848567394069,0.0065994135380685465,false,true,true,true,true
2018-09-04T00:00:00Z,7197,7230.454545454545,7277.848484848485,7298.757575757576,7334,7263,7270.17,7258.834759562844,0.25278216171158646,0.6501192888778812,-0.010064413899537435,-0.00546279585559279,0.001056163039995614,0.0039321743174610645,0.008779712166290463,false,false,true,true,true
2018-09-05T00:00:00Z,7237,7304.363636363636,7366.545454545455,7402.818181818182,7407,7359.05,7378.97,7358.798459016396,0.22852681300361136,0.6630091650642242,-0.01923981260257194,-0.010110674475755319,-0.0016837777433090656,0.0032319120172844894,0.003798633142565933,true,true,true,false,false
2018-09-06T00:00:00Z,6695,7351.636363636364,7365.757575757576,7386.939393939394,7393,6697.27,6464.76,6654.607601092896,-5.596065573770486,0.56555721773542,0.03561462451815686,0.13718627816598972,0.1393706148035775,0.1426471197599592,0.1435846032954046,false,false,false,false,false
2018-09-07T00:00:00Z,6308,6378.232323232323,6436.070707070707,6473.252525252526,6716,6516.84,6496,6490.448038251367,0.04521339260905697,0.012840095475512348,-0.02894088669950739,-0.018129260586157124,-0.009225568492809928,-0.0035017664328008576,0.033866995073891626,false,true,true,true,false
2018-09-08T00:00:00Z,6329,6384.676767676768,6440.353535353535,6493.888888888889,6540,6395.54,6432.66,6414.263907103825,0.41667546540705663,0.49062755349948584,-0.016114639977862947,-0.0074593142375366005,0.001196011502789745,0.009518440099257357,0.016686720579045085,true,true,true,false,false
2018-09-09T00:00:00Z,6119,6119,6169.484848484848,6216.363636363636,6475,6185.06,6175.28,6174.793939890711,0.0275218116143352,0.011976140802130497,-0.009113756785117395,-0.009113756785117395,-0.0009384435224235503,0.006652918792935104,0.04853545102408316,false,false,true,true,false
2018-09-10T00:00:00Z,6150,6353.515151515152,6375.818181818182,6423.212121212121,6425,6252.26,6268,6265.342032786886,-0.019797721589329725,0.004024874219818009,-0.018825781748564134,0.013643132022200376,0.01720136914776356,0.024762623039585357,0.025047862156987875,false,false,false,false,false
